substance_id,substance_name
1,"Liquid Extract From Viscum Album Subsp. Abietis Var Abies Alba (1:20), Extraction Solvents: Water For Injection And Sodium Chloride (99.91:0.09)"
2,"Vitamin A Concentrate (Oily Form), Synthetic"
3,Cetirizine Dihydrochloride
4,Hypericum Perforatum L.
5,Benzocaine
6,Dexamethasone Base
7,Dexamethasone Sodium Phosphate
8,Estriol
9,"Reproterol Hydrochloride, Sodium Cromoglicate"
10,Acetylsalicylic Acid
11,"Chlorphenamine Maleate, Phenylephrine Bitartrate, Paracetamol"
12,"Abacavir, Lamivudine"
13,Abacavir
14,"Zidovudine, Abacavir, Lamivudine"
15,"Abacavir Sulfate, Lamivudine"
16,Dabigatran Etexilate
17,Pefloxacin
18,Pefloxacin Mesilate Dihydrate
19,Paracetamol
20,Rivaroxaban
21,Insulin Glargine
22,Apixaban
23,Atorvastatin
24,Fentanyl
25,Brivaracetam
26,Abiraterone Acetate
27,"Amoxicillin, Clavulanic Acid"
28,Tranylcypromine
29,Erythromycin
30,Erythromycin Ethylsuccinate
31,Erythromycin Lactobionate
32,Erythromycin Stearate
33,"Soft Extract Of Capsicum, (4-7: 1), Corresponding To 4.8 Mg Of Capsaicinoids, Calculated As Capsaicin. Extraction Solvent: Ethanol 80% (V/V)"
34,Capsaicin
35,"Soft Extract From Cayenne Pepper Fruit (4–7:1), Extraction Solvent: Ethanol 80% (V/V)"
36,Cayenne Pepper Soft Extract
37,Nonivamide
38,Paracetamol Bp
39,"Fluid Extract From Gentian Root (1: 1), Extraction Solvent: Ethanol 50% (V / V), Fluid Extract Of Wormwood (1:1), Extraction Solvent: Ethanol 20% (V/V), Fluid Extract From Melissa Leaf (1: 1), Extraction Solvent: Ethanol 20% (V/V), Fluid Extract From Acor"
40,"Sodium Hydrogen Carbonate, Potassium Chloride, Sodium Chloride, Macrogol 3350"
41,"Lactic Acid, Salicylic Acid"
42,Sildenafil Citrate
43,Idecabtagene Vicleucel
44,"Calcium, Magnesium"
45,Amphotericin B
46,Aripiprazole
47,"Drospirenone, Ethinylestradiol"
48,Rosuvastatin Calcium
49,Bendroflumethiazide
50,Naltrexone Hydrochloride
51,Irbesartan
52,Amlodipine
53,Bevacizumab
54,Fentanyl Citrate
55,"Castor Oil, Virgin"
56,Sennae Folium
57,"Castor Oil, Refined"
58,Magnesium Sulfate Heptahydrate
59,"Senna Pods, Tinnevelly"
60,Metformin Hydrochloride
61,"Fluocinolone Acetonide, Framycetin"
62,"Retinol Palmitate, Riboflavin Sodium Phosphate, Thiamine Hydrochloride, Ascorbic Acid, Ergocalciferol, Nicotinamide, Pyridoxine Hydrochloride"
63,"Retinol Palmitate, Thiamine Hydrochloride, Ascorbic Acid, Ergocalciferol, Nicotinamide, Riboflavin, Pyridoxine Hydrochloride"
64,Ibuprofen
65,Abietic Acid
66,Esomeprazole Magnesium Dihydrate
67,Isoconazole Nitrate
68,Moxifloxacin
69,"Neomycin, Chlorobutanol, Menthol, Camphor, Cineole, Sylvestris Pine Oil"
70,Moxifloxacin Hydrochloride
71,Bimatoprost
72,Abiraterone
73,Prednisolone
74,Amlodipine Besilate
75,Bilastine
76,Hydrocortisone
77,Viscum Album Abietis Ex Herba Recente Col. D30
78,Extract Of Fresh Fir Mistletoe Herb
79,"Extract Of Phoradendron Leucarpum Herb (1:50), Extraction Solvent: Sodium Monohydrogen Phosphate Dihydrate, Ascorbic Acid And Water For Injection (2.03:0.34:97.63)"
80,Extract Of Fresh Almond Mistletoe Herb
81,Extract Of Fresh Birch Mistletoe Herb
82,Extract Of Fresh Hawthorn Mistletoe Herb
83,Extract Of Fresh Ash Mistletoe Herb
84,Viscum Album Fraxini Ex Herba Recente Col. D10
85,Viscum Album Fraxini Ex Herba Recente Col. D20
86,Viscum Album Fraxini Ex Herba Recente Col. D30
87,"Extract Of Apple Tree Mistletoe (1:50), Extraction Solvents: Sodium Monohydrogen Phosphate Dihydrate, Ascorbic Acid, Water For Injections (2.03:0.34:97.63)"
88,Extract Of Fresh Pine Mistletoe Herb
89,Extract Of Fresh Oak Mistletoe Herb
90,Viscum Album Quercus Ex Herba Recente Col. D6
91,Ginkgo Biloba Extract
92,"Echinacea Dil. D2, Gelsemium Sempervirens Dil. D4, Ammi Visnaga Dil. D 2, Blatta Orientalis Urt., Cetraria Islandica Dil. D 3, Datura Stramonium Dil. D 4, Euspongia Officinalis Dil. D 3, Natrium Sulfuricum Dil. D 4, Selenicereus Grandiflorus Dil. D 1, Mat"
93,Bortezomib
94,Brimonidine Tartrate
95,"Fluocinonide, Hexetidine, Ruscogenin"
96,Paclitaxel Albumin-Bound
97,"Fluticasone Propionate, Formoterol Fumarate Dihydrate"
98,"Dry Extract Of Hederae Folium (5-7.5:1), Extraction Solvent: Ethanol 30% (M/M)"
99,Ibandronic Acid
100,Vortioxetine
101,Ambroxol Hydrochloride
102,"Respiratory Syncytial Virus, Subgroup A, Stabilized Prefusion F Protein 847a, Respiratory Syncytial Virus, Subgroup B, Stabilized Prefusion F Protein 847b"
103,Epoetin Alfa
104,Sodium Valproate
105,"Artemisia Absinthium Ex Herba Siccata, Ethanol. Infusum Ø, Terebinthina Laricina Dil. D3"
106,Prucalopride
107,Ezetimibe
108,"Terebinthina Laricina, Terebinthinae Aetheroleum Rectificatum"
109,Betulae Folium
110,Sage Leaf (Salvia Officinalis)
111,Thyme
112,Matricariae Flos
113,Melissa Leaf
114,Oxycodone Hydrochloride
115,Beta-Alanine
116,Paclitaxel
117,Febuxostat
118,Potassium Citrate
119,Travoprost
120,Acamprosate Calcium
121,Ramipril
122,Risedronate Sodium
123,"Calcium Carbonate, Cholecalciferol Concentrate"
124,Acarbose
125,Carvedilol
126,Benzyl Benzoate
127,"Dermatophagoides Pteronyssinus, Dermatophagoides Farinae"
128,Phenylephrine Hydrochloride
129,"Pseudoephedrine Hydrochloride, Triprolidine Hydrochloride"
130,Azelastine Hydrochloride
131,Oxymetazoline Hydrochloride
132,Dextromethorphan Hydrobromide
133,"Pseudoephedrine Hydrochloride, Ibuprofen"
134,"Phenylephrine Hydrochloride, Ibuprofen"
135,Acetylcysteine
136,Filgrastim
137,"Colecalciferol, Calcium"
138,Iohexol
139,"Glucose, Anhydrous, Sodium Hydrogen Carbonate, Magnesium Chloride Hexahydrate, Potassium Chloride, Sodium Chloride, Calcium Chloride Dihydrate"
140,"Sodium Hydrogen Carbonate, Magnesium Chloride Hexahydrate, Potassium Chloride, Sodium Chloride, Calcium Chloride Dihydrate, D-Glucose"
141,"Sodium Hydrogen Carbonate, Magnesium Chloride Hexahydrate, Sodium Chloride, Calcium Chloride Dihydrate"
142,"Sodium Hydrogen Carbonate, Magnesium Chloride Hexahydrate, Potassium Chloride, Sodium Chloride, Calcium Chloride Dihydrate, Glucose"
143,Levothyroxine Sodium
144,Metronidazole
145,"Bisoprolol Fumarate, Ramipril"
146,Acebutolol Hydrochloride
147,Acebutolol
148,"Diclofenac Sodium, Paracetamol"
149,Aceclofenac
150,"Hydrochlorothiazide, Lisinopril"
151,"Captopril, Hydrochlorothiazide"
152,"Enalapril Maleate, Hydrochlorothiazide"
153,"Acetylsalicylic Acid, Caffeine"
154,"Adapalene, Benzoyl Peroxide"
155,Cefoperazone
156,Castor Oil
157,Citalopram Hydrochloride
158,Ethinylestradiol
159,Penfluridol
160,Acemetacin
161,Lisinopril
162,Acetazolamide
163,Glucosamine Hydrochloride
164,Acenocoumarol
165,Captopril
166,Ciprofloxacin
167,"Ciprofloxacin, Fluocinolone Acetonide"
168,Methylprednisolone Aceponate
169,Aminocaproic Acid
170,Allopurinol Sodium
171,"Benzoic Acid, Malic Acid, Salicylic Acid"
172,"(S)-Lactic Acid, Salicylic Acid"
173,"Amlodipine Besilate, Perindopril Arginine"
174,Piracetam
175,Terlipressin
176,Cyproterone Acetate
177,Eslicarbazepine Acetate
178,Eslicarbazepine
179,Glatiramer Acetate
180,Potassium Acetate
181,Sodium Acetate
182,Acetazolamide Bp
183,Acetazolamide Ph. Eur.
184,Acetazolamide Sodium
185,Enalapril Maleate
186,"Acetylcholine Chloride, Water For Injection"
187,Lysine Aspirin
188,Calcium-Sodium-Hydrogencitrate (6:6:3:7)
189,Acetylleucine
190,"Paracetamol, Acetylsalicylic Acid, Caffeine"
191,Acetylsalicylic Acid Ph. Eur.
192,Aciclovir
193,Folic Acid
194,Folic Acid Hydrate
195,"Aesculus, Cortex, Ethanol. Decoctum Dil. D3, Antimonit Dil. D8, Gentiana Lutea, Ethanol. Decoctum Dil. D3, Hamamelis, Ethanol. Decoctum Dil. D3, Millefolium Dil. D1"
196,Aciclovir Sodium
197,Aciclovir Ph. Eur.
198,Aciclovir Bp
199,Acitretin
200,"Alendronic Acid, Colecalciferol"
