drug_id,drug_name
EMA0000001,A
EMA0000002,A 313
EMA0000003,A L E R I D
EMA0000004,A.Vogel Hyperiforce
EMA0000005,Aaa Sore Throat
EMA0000006,Aacidexam
EMA0000007,Aacidexam
EMA0000008,Aacifemine
EMA0000009,Aarane N
EMA0000010,Aas
EMA0000011,Abacat
EMA0000012,Abacavir / Lamivudine Auxilia
EMA0000013,Abacavir / Lamivudine Biogaran
EMA0000014,Abacavir + Lamivudina Aurovitas
EMA0000015,Abacavir + Lamivudina Farmoz
EMA0000016,Abacavir + Lamivudina Mylan
EMA0000017,Abacavir + Lamivudine Sandoz
EMA0000018,Abacavir Accord
EMA0000019,Abacavir Arrow
EMA0000020,Abacavir Aurobindo
EMA0000021,Abacavir E Lamivudina Aurobindo
EMA0000022,Abacavir E Lamivudina Sun
EMA0000023,Abacavir Farmoz
EMA0000024,Abacavir Generis
EMA0000025,Abacavir Hexal
EMA0000026,Abacavir Milpharm
EMA0000027,Abacavir Mylan
EMA0000028,Abacavir Sandoz
EMA0000029,Abacavir Sulfate / Lamivudine Aurobindo
EMA0000030,Abacavir Tarbis
EMA0000031,Abacavir Viatris
EMA0000032,Abacavir Zentiva
EMA0000033,Abacavir/Lamivudin Al
EMA0000034,Abacavir/Lamivudin Aurobindo
EMA0000035,Abacavir/Lamivudin Basics
EMA0000036,Abacavir/Lamivudin Beta
EMA0000037,Abacavir/Lamivudin Heumann
EMA0000038,Abacavir/Lamivudin Hormosan
EMA0000039,Abacavir/Lamivudin Medical Valley
EMA0000040,Abacavir/Lamivudin Mylan
EMA0000041,Abacavir/Lamivudin Mylan Pharma
EMA0000042,Abacavir/Lamivudin Puren
EMA0000043,Abacavir/Lamivudin Ratiopharm
EMA0000044,Abacavir/Lamivudin Sandoz
EMA0000045,Abacavir/Lamivudin Stada
EMA0000046,Abacavir/Lamivudin Teva
EMA0000047,Abacavir/Lamivudin Viatris
EMA0000048,Abacavir/Lamivudină
EMA0000049,Abacavir/Lamivudina Aurovitas
EMA0000050,Abacavir/Lamivudina Dr. Reddys
EMA0000051,Abacavir/Lamivudina Glenmark
EMA0000052,Abacavir/Lamivudina Kern Pharma
EMA0000053,Abacavir/Lamivudina Macleods
EMA0000054,Abacavir/Lamivudină Mylan
EMA0000055,Abacavir/Lamivudina Tarbis
EMA0000056,Abacavir/Lamivudina Teva
EMA0000057,Abacavir/Lamivudina Viatris
EMA0000058,Abacavir/Lamivudină Viatris
EMA0000059,Abacavir/Lamivudina/Zidovudina Mylan
EMA0000060,Abacavir/Lamivudine Accord
EMA0000061,Abacavir/Lamivudine Amarox
EMA0000062,Abacavir/Lamivudine Arrow
EMA0000063,Abacavir/Lamivudine Auxilia
EMA0000064,Abacavir/Lamivudine Dr. Reddy's
EMA0000065,Abacavir/Lamivudine Eg
EMA0000066,Abacavir/Lamivudine Glenmark
EMA0000067,Abacavir/Lamivudine Lupin Healthcare (Uk)
EMA0000068,Abacavir/Lamivudine Macleods
EMA0000069,Abacavir/Lamivudine Macleods Pharma Uk
EMA0000070,Abacavir/Lamivudine Medical Valley
EMA0000071,Abacavir/Lamivudine Milpharm
EMA0000072,Abacavir/Lamivudine Mylan
EMA0000073,Abacavir/Lamivudine Mylan Pharma
EMA0000074,Abacavir/Lamivudine Sandoz
EMA0000075,Abacavir/Lamivudine Stada
EMA0000076,Abacavir/Lamivudine Sun
EMA0000077,Abacavir/Lamivudine Teva
EMA0000078,Abacavir/Lamivudine Unifarma
EMA0000079,Abacavir/Lamivudine Viatris
EMA0000080,Abacavir/Lamivudine Zentiva
EMA0000081,Abacavir/Lamivudine/Zidovudine Mylan
EMA0000082,Abacavir/Lamivudine/Zidovudine Viatris
EMA0000083,Abacavir+lamivudine Accord
EMA0000084,Abacavir+lamivudine Mylan Pharma
EMA0000085,Abagat
EMA0000086,Abakavir/Lamivudin Mylan Pharma
EMA0000087,Abakavir/Lamivudin Viatris
EMA0000088,Abaktal
EMA0000089,Abaktal
EMA0000090,Abalon
