drug_id,substance_id
EMA0000001,1
EMA0000002,2
EMA0000003,3
EMA0000004,4
EMA0000005,5
EMA0000006,6
EMA0000007,7
EMA0000008,8
EMA0000009,9
EMA0000010,10
EMA0000011,11
EMA0000012,12
EMA0000013,12
EMA0000014,12
EMA0000015,12
EMA0000016,12
EMA0000017,12
EMA0000018,13
EMA0000019,13
EMA0000020,13
EMA0000021,12
EMA0000022,12
EMA0000023,13
EMA0000024,13
EMA0000025,13
EMA0000026,13
EMA0000027,13
EMA0000028,13
EMA0000029,12
EMA0000030,13
EMA0000031,13
EMA0000032,13
EMA0000033,12
EMA0000034,12
EMA0000035,12
EMA0000036,12
EMA0000037,12
EMA0000038,12
EMA0000039,12
EMA0000040,12
EMA0000041,12
EMA0000042,12
EMA0000043,12
EMA0000044,12
EMA0000045,12
EMA0000046,12
EMA0000047,12
EMA0000048,12
EMA0000049,12
EMA0000050,12
EMA0000051,12
EMA0000052,12
EMA0000053,12
EMA0000054,12
EMA0000055,12
EMA0000056,12
EMA0000057,12
EMA0000058,12
EMA0000059,14
EMA0000060,12
EMA0000061,12
EMA0000062,12
EMA0000063,12
EMA0000064,12
EMA0000065,12
EMA0000066,12
EMA0000067,12
EMA0000068,12
EMA0000069,12
EMA0000070,12
EMA0000071,12
EMA0000072,12
EMA0000073,12
EMA0000074,12
EMA0000075,12
EMA0000076,12
EMA0000077,12
EMA0000078,12
EMA0000079,12
EMA0000080,15
EMA0000081,14
EMA0000082,14
EMA0000083,12
EMA0000084,12
EMA0000085,16
EMA0000086,12
EMA0000087,12
EMA0000088,17
EMA0000089,18
EMA0000090,19
EMA0000091,20
EMA0000092,21
EMA0000093,21
EMA0000094,21
EMA0000095,22
EMA0000096,23
EMA0000097,24
EMA0000098,25
EMA0000099,26
EMA0000100,27
EMA0000101,28
EMA0000102,29
EMA0000103,30
EMA0000104,31
EMA0000105,32
EMA0000106,30
EMA0000107,29
EMA0000108,30
EMA0000109,33
EMA0000110,34
EMA0000111,35
EMA0000112,36
EMA0000113,37
EMA0000114,38
EMA0000115,38
EMA0000116,39
EMA0000117,40
EMA0000118,40
EMA0000119,40
EMA0000120,40
EMA0000121,40
EMA0000122,40
EMA0000123,41
EMA0000124,42
EMA0000125,43
EMA0000126,44
EMA0000127,45
EMA0000128,45
EMA0000129,45
EMA0000130,45
EMA0000131,46
EMA0000132,47
EMA0000133,48
EMA0000134,49
EMA0000135,46
EMA0000136,50
EMA0000137,51
EMA0000138,52
EMA0000139,53
EMA0000140,54
EMA0000141,55
EMA0000142,56
EMA0000143,57
EMA0000144,58
EMA0000145,56
EMA0000146,59
EMA0000147,56
EMA0000148,60
EMA0000149,26
EMA0000150,61
EMA0000151,22
EMA0000152,62
EMA0000153,63
EMA0000154,64
EMA0000155,65
EMA0000156,66
EMA0000157,46
EMA0000158,46
EMA0000159,46
EMA0000160,46
EMA0000161,67
EMA0000162,68
EMA0000163,26
EMA0000164,27
EMA0000165,69
EMA0000166,70
EMA0000167,46
EMA0000168,71
EMA0000169,26
EMA0000170,26
EMA0000171,72
EMA0000172,26
EMA0000172,73
EMA0000173,26
EMA0000173,73
EMA0000174,26
EMA0000175,26
EMA0000176,26
EMA0000177,26
EMA0000178,26
EMA0000179,26
EMA0000180,26
EMA0000181,26
EMA0000182,26
EMA0000183,26
EMA0000184,26
EMA0000185,26
EMA0000186,26
EMA0000187,26
EMA0000188,26
EMA0000189,26
EMA0000190,26
EMA0000191,26
EMA0000192,26
EMA0000193,72
EMA0000194,26
EMA0000195,26
EMA0000196,26
EMA0000197,26
EMA0000198,26
EMA0000199,26
EMA0000200,26
EMA0000201,26
EMA0000202,26
EMA0000203,26
EMA0000204,26
EMA0000205,26
EMA0000206,26
EMA0000207,26
EMA0000208,26
EMA0000209,26
EMA0000210,26
EMA0000211,26
EMA0000212,26
EMA0000213,26
EMA0000214,26
EMA0000215,26
EMA0000216,26
EMA0000217,26
EMA0000218,26
EMA0000219,26
EMA0000220,26
EMA0000221,26
EMA0000222,26
EMA0000223,26
EMA0000224,26
EMA0000225,26
EMA0000226,26
EMA0000227,26
EMA0000228,26
EMA0000229,26
EMA0000230,26
EMA0000231,26
EMA0000232,26
EMA0000233,26
EMA0000234,26
EMA0000235,26
EMA0000236,26
EMA0000237,26
EMA0000238,26
EMA0000239,26
EMA0000240,72
EMA0000241,26
EMA0000242,26
EMA0000243,26
EMA0000244,26
EMA0000245,26
EMA0000246,26
EMA0000247,26
EMA0000248,26
EMA0000249,26
EMA0000250,26
EMA0000251,26
EMA0000252,26
EMA0000253,26
EMA0000254,26
EMA0000255,26
EMA0000256,26
EMA0000257,26
EMA0000258,26
EMA0000259,26
EMA0000260,26
EMA0000261,26
EMA0000262,26
EMA0000263,26
EMA0000264,26
EMA0000265,26
EMA0000266,72
EMA0000267,26
EMA0000268,26
EMA0000269,26
EMA0000270,26
EMA0000271,26
EMA0000272,26
EMA0000273,26
EMA0000274,26
EMA0000275,26
EMA0000276,26
EMA0000277,26
EMA0000278,26
EMA0000279,26
EMA0000280,26
EMA0000281,26
EMA0000282,26
EMA0000283,26
EMA0000284,26
EMA0000285,26
EMA0000286,26
EMA0000287,26
EMA0000288,26
