+-------------------+----------------+----------+--------------------+------------------------+---------------+--------------------+------------------+--------------+---------------------------------+--------------------------+----------------------+
| department_name   | admission_year | ken_code | insurance_provider | total_hospitalizations | avg_stay_days | mean_duration_days | total_extra_days | base_revenue | extra_revenue_due_to_mdn_excess | calculated_total_revenue | stored_total_revenue |
+-------------------+----------------+----------+--------------------+------------------------+---------------+--------------------+------------------+--------------+---------------------------------+--------------------------+----------------------+
| Cardiology        |           2023 | Κ19Α     | EFKA               |                      1 |         11.00 |                  3 |                8 |    319400.00 |                      8517360.00 |               8836760.00 |           8836760.00 |
| Cardiology        |           2023 | Κ09Χ     | UNINSURED          |                      1 |         12.00 |                  3 |                9 |    238600.00 |                      7157970.00 |               7396570.00 |           7396570.00 |
| Cardiology        |           2023 | Κ06Χ     | PRIVATE_A          |                      1 |         13.00 |                  7 |                6 |    507700.00 |                      4351740.00 |               4859440.00 |           4859440.00 |
| Cardiology        |           2023 | Τ02Α     | EFKA               |                      2 |          9.00 |                 23 |                0 |   4055800.00 |                            0.00 |               4055800.00 |           4055800.00 |
| Cardiology        |           2023 | Κ01Χ     | PRIVATE_B          |                      1 |          8.00 |                  3 |                5 |   1242000.00 |                      2070000.00 |               3312000.00 |           3312000.00 |
| Cardiology        |           2023 | Κ30Χ     | EFKA               |                      5 |          8.20 |                  6 |               14 |   2235000.00 |                      1043000.00 |               3278000.00 |           3278000.00 |
| Cardiology        |           2023 | Κ31Χ     | PRIVATE_B          |                      1 |         13.00 |                  4 |                9 |    118300.00 |                      2661750.00 |               2780050.00 |           2780050.00 |
| Cardiology        |           2023 | Κ45ΜΒ    | EFKA               |                      2 |          9.00 |                  4 |               10 |    203800.00 |                      2547500.00 |               2751300.00 |           2751300.00 |
| Cardiology        |           2023 | Κ17Χ     | EFKA               |                      1 |         10.00 |                  1 |                9 |    261700.00 |                      2355300.00 |               2617000.00 |           2617000.00 |
| Cardiology        |           2023 | Κ32Α     | PRIVATE_B          |                      2 |         12.50 |                  1 |               23 |    208600.00 |                      2398900.00 |               2607500.00 |           2607500.00 |
| Cardiology        |           2023 | Κ10Μ     | PRIVATE_A          |                      1 |         12.00 |                  8 |                4 |    416600.00 |                      2083000.00 |               2499600.00 |           2499600.00 |
| Cardiology        |           2023 | Κ09ΜΒ    | PRIVATE_A          |                      1 |          9.00 |                  6 |                3 |    361700.00 |                      1808490.00 |               2170190.00 |           2170190.00 |
| Cardiology        |           2023 | Κ47Α     | EFKA               |                      2 |          6.50 |                  6 |                4 |    484600.00 |                      1615320.00 |               2099920.00 |           2099920.00 |
| Cardiology        |           2023 | Τ02Α     | PRIVATE_B          |                      1 |         11.00 |                 23 |                0 |   2027900.00 |                            0.00 |               2027900.00 |           2027900.00 |
| Cardiology        |           2023 | Κ32Μ     | EFKA               |                      3 |          8.33 |                  8 |                5 |    618600.00 |                      1288750.00 |               1907350.00 |           1907350.00 |
| Cardiology        |           2023 | Κ12Μ     | EFKA               |                      3 |          4.33 |                 11 |                0 |   1639500.00 |                            0.00 |               1639500.00 |           1639500.00 |
| Cardiology        |           2023 | Κ01Μ     | EFKA               |                      1 |          8.00 |                 12 |                0 |   1621500.00 |                            0.00 |               1621500.00 |           1621500.00 |
| Cardiology        |           2023 | Κ09ΜΒ    | EFKA               |                      1 |          8.00 |                  6 |                2 |    361700.00 |                      1205660.00 |               1567360.00 |           1567360.00 |
| Cardiology        |           2023 | Κ39Μ     | EFKA               |                      4 |          5.25 |                  6 |                5 |    507200.00 |                      1056650.00 |               1563850.00 |           1563850.00 |
| Cardiology        |           2023 | Κ43Μ     | EFKA               |                      3 |          8.00 |                  8 |                6 |    441300.00 |                      1103280.00 |               1544580.00 |           1544580.00 |
| Cardiology        |           2023 | Κ10Μ     | EFKA               |                      1 |         10.00 |                  8 |                2 |    416600.00 |                      1041500.00 |               1458100.00 |           1458100.00 |
| Cardiology        |           2023 | Κ05Χ     | PRIVATE_A          |                      2 |          6.00 |                 13 |                0 |   1454000.00 |                            0.00 |               1454000.00 |           1454000.00 |
