+--------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------+-----------------------+
| substance_id | substance_name                                                                                                                                                                                                                                                        | allergic_patient_count | containing_drug_count |
+--------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------+-----------------------+
|          276 | Chlorhexidine Gluconate                                                                                                                                                                                                                                               |                      1 |                    89 |
|          540 | Apremilast                                                                                                                                                                                                                                                            |                      1 |                    78 |
|          449 | Sertraline Hydrochloride                                                                                                                                                                                                                                              |                      1 |                    64 |
|          541 | Metoclopramide Hydrochloride                                                                                                                                                                                                                                          |                      1 |                    58 |
|          417 | Hyoscine Butylbromide                                                                                                                                                                                                                                                 |                      1 |                    56 |
|         3407 | Macrogol 4000                                                                                                                                                                                                                                                         |                      1 |                    54 |
|          435 | Lisinopril Dihydrate                                                                                                                                                                                                                                                  |                      1 |                    50 |
|         1014 | Ambrosia Artemisiifolia                                                                                                                                                                                                                                               |                      1 |                    43 |
|         2352 | Mirabegron                                                                                                                                                                                                                                                            |                      1 |                    38 |
|         1862 | Paroxetine Hydrochloride                                                                                                                                                                                                                                              |                      1 |                    31 |
|          377 | Denosumab                                                                                                                                                                                                                                                             |                      1 |                    30 |
|         1100 | Horse Epithelia                                                                                                                                                                                                                                                       |                      1 |                    28 |
|          671 | Axitinib                                                                                                                                                                                                                                                              |                      1 |                    25 |
|         4433 | Esomeprazole Sodium                                                                                                                                                                                                                                                   |                      1 |                    18 |
|           28 | Tranylcypromine                                                                                                                                                                                                                                                       |                      1 |                    16 |
|         5309 | Eltrombopag Olamine                                                                                                                                                                                                                                                   |                      1 |                    12 |
|          160 | Acemetacin                                                                                                                                                                                                                                                            |                      1 |                     9 |
|         3695 | Fluorocholine (18f) Chloride                                                                                                                                                                                                                                          |                      1 |                     9 |
|         1208 | Passion Fruit                                                                                                                                                                                                                                                         |                      1 |                     9 |
|         2730 | Ubidecarenone                                                                                                                                                                                                                                                         |                      1 |                     9 |
|         5493 | Extractum Siccum Compositum (4- 9 : 1) Ex Baptisiae Tinctoriae L. Radix 4,92 P., Echinaceae Purpureae (L.) Moench Radix 1,85 P., Echinaceae Pallidae Nutt. Radix 1,85 P., Thujae Occidentalis L. Herba 1 P., Ethanol 30 % (V/V)                                       |                      1 |                     8 |
|         3100 | Ginkgo Dry Extract, Refined And Quantified                                                                                                                                                                                                                            |                      1 |                     8 |
|         5995 | Magaldrate                                                                                                                                                                                                                                                            |                      1 |                     8 |
|         5116 | Mitoxantrone Hydrochloride                                                                                                                                                                                                                                            |                      1 |                     8 |
|         7724 | Betiatide                                                                                                                                                                                                                                                             |                      1 |                     7 |
|         6580 | Hydroxocobalamin Chloride                                                                                                                                                                                                                                             |                      1 |                     7 |
|           32 | Erythromycin Stearate                                                                                                                                                                                                                                                 |                      1 |                     6 |
|         6788 | Eucalyptus Oil, Turpentine Oil, Larix Decidua Resin                                                                                                                                                                                                                   |                      1 |                     5 |
|         5067 | Foscarbidopa, Foslevodopa                                                                                                                                                                                                                                             |                      1 |                     5 |
|         8031 | Methoxyflurane 99.9%                                                                                                                                                                                                                                                  |                      1 |                     5 |
|        10129 | Potassium Chloride, Sodium Chloride, Calcium Chloride Dihydrate, Sodium Acetate Trihydrate                                                                                                                                                                            |                      1 |                     5 |
|        10823 | Sunitinib Malate                                                                                                                                                                                                                                                      |                      1 |                     5 |
|         2279 | Tincture From Valerian Root (1:5), Extraction Solvent: Ethanol 70% (V/V)                                                                                                                                                                                              |                      1 |                     5 |
|        11116 | Tirofiban                                                                                                                                                                                                                                                             |                      1 |                     5 |
|         2538 | Betaxolol                                                                                                                                                                                                                                                             |                      1 |                     4 |
|         4315 | Decitabine                                                                                                                                                                                                                                                            |                      1 |                     4 |
|         8890 | Dermatophagoides Pteronyssinus Extract                                                                                                                                                                                                                                |                      1 |                     4 |
|         6856 | Indium (111in) Pentetate                                                                                                                                                                                                                                              |                      1 |                     4 |
|         6112 | Methylrosanilinium Chloride                                                                                                                                                                                                                                           |                      1 |                     4 |
|         9015 | Oxytetracycline                                                                                                                                                                                                                                                       |                      1 |                     4 |
|         8172 | Pizotifen                                                                                                                                                                                                                                                             |                      1 |                     4 |
|         6241 | Sodium Glycerophosphate Pentahydrate                                                                                                                                                                                                                                  |                      1 |                     4 |
|         5375 | Sodium Hydrogen Carbonate, Sodium Carbonate Anhydrous, Citric Acid                                                                                                                                                                                                    |                      1 |                     4 |
|         7112 | Soft Extract From Thyme, (Der 2-4:1), Extraction Solvent: Water, Soft Extract From Iceland Moss, (Der 3-7:1), Extraction Solvent: Water                                                                                                                               |                      1 |                     4 |
|         5744 | Tanacetum Parthenium                                                                                                                                                                                                                                                  |                      1 |                     4 |
|         1274 | Amantadine Hydrochloride Ph. Eur.                                                                                                                                                                                                                                     |                      1 |                     3 |
|         3058 | Beech                                                                                                                                                                                                                                                                 |                      1 |                     3 |
|         9215 | Cyproheptadine Hydrochloride                                                                                                                                                                                                                                          |                      1 |                     3 |
|         5050 | Dexamethasone Sodium Phosphate, Levofloxacin Hemihydrate                                                                                                                                                                                                              |                      1 |                     3 |
