+-------------------+------------+------------+--------------------+---------------------+
| department_name   | shift_type | shift_date | required_personnel | personnel_subclass  |
+-------------------+------------+------------+--------------------+---------------------+
| Cardiology        | AFTERNOON  | 2026-03-02 |                  2 | REGISTRAR           |
| Cardiology        | AFTERNOON  | 2026-03-02 |                  3 | CARDIOLOGY          |
| Cardiology        | AFTERNOON  | 2026-03-02 |                  1 | HEAD_NURSE          |
| Cardiology        | AFTERNOON  | 2026-03-02 |                  1 | ASSISTANT_NURSE     |
| Cardiology        | AFTERNOON  | 2026-03-02 |                  4 | NURSE               |
| Cardiology        | MORNING    | 2026-03-02 |                  6 | NURSE               |
| Cardiology        | MORNING    | 2026-03-02 |                  1 | ACCOUNTANT          |
| Cardiology        | MORNING    | 2026-03-02 |                  1 | HR_ASSISTANT        |
| Cardiology        | MORNING    | 2026-03-02 |                  3 | CARDIOLOGY          |
| Cardiology        | NIGHT      | 2026-03-02 |                  3 | CARDIOLOGY          |
| Cardiology        | NIGHT      | 2026-03-02 |                  1 | ASSISTANT_NURSE     |
| Cardiology        | NIGHT      | 2026-03-02 |                  1 | SECRETARY           |
| Cardiology        | NIGHT      | 2026-03-02 |                  1 | ACCOUNTANT          |
| Cardiology        | NIGHT      | 2026-03-02 |                  5 | NURSE               |
| Emergency         | AFTERNOON  | 2026-03-02 |                  1 | ASSISTANT_NURSE     |
| Emergency         | AFTERNOON  | 2026-03-02 |                  5 | NURSE               |
| Emergency         | AFTERNOON  | 2026-03-02 |                  3 | EMERGENCY_MEDICINE  |
| Emergency         | AFTERNOON  | 2026-03-02 |                  1 | REGISTRAR           |
| Emergency         | AFTERNOON  | 2026-03-02 |                  1 | BILLING_OFFICER     |
| Emergency         | MORNING    | 2026-03-02 |                  1 | BILLING_OFFICER     |
| Emergency         | MORNING    | 2026-03-02 |                  1 | HR_ASSISTANT        |
| Emergency         | MORNING    | 2026-03-02 |                  1 | HEAD_NURSE          |
| Emergency         | MORNING    | 2026-03-02 |                  1 | ASSISTANT_NURSE     |
| Emergency         | MORNING    | 2026-03-02 |                  4 | NURSE               |
| Emergency         | MORNING    | 2026-03-02 |                  3 | EMERGENCY_MEDICINE  |
| Emergency         | NIGHT      | 2026-03-02 |                  3 | EMERGENCY_MEDICINE  |
| Emergency         | NIGHT      | 2026-03-02 |                  1 | ACCOUNTANT          |
| Emergency         | NIGHT      | 2026-03-02 |                  1 | HR_ASSISTANT        |
| Emergency         | NIGHT      | 2026-03-02 |                  1 | ASSISTANT_NURSE     |
| Emergency         | NIGHT      | 2026-03-02 |                  5 | NURSE               |
| ENT               | AFTERNOON  | 2026-03-02 |                  1 | ACCOUNTANT          |
| ENT               | AFTERNOON  | 2026-03-02 |                  1 | REGISTRAR           |
| ENT               | AFTERNOON  | 2026-03-02 |                  1 | ASSISTANT_NURSE     |
| ENT               | AFTERNOON  | 2026-03-02 |                  5 | NURSE               |
| ENT               | AFTERNOON  | 2026-03-02 |                  3 | OTORHINOLARYNGOLOGY |
| ENT               | MORNING    | 2026-03-02 |                  3 | OTORHINOLARYNGOLOGY |
| ENT               | MORNING    | 2026-03-02 |                  1 | ARCHIVIST           |
| ENT               | MORNING    | 2026-03-02 |                  1 | REGISTRAR           |
| ENT               | MORNING    | 2026-03-02 |                  1 | ASSISTANT_NURSE     |
| ENT               | MORNING    | 2026-03-02 |                  5 | NURSE               |
| ENT               | NIGHT      | 2026-03-02 |                  1 | ASSISTANT_NURSE     |
| ENT               | NIGHT      | 2026-03-02 |                  5 | NURSE               |
| ENT               | NIGHT      | 2026-03-02 |                  3 | OTORHINOLARYNGOLOGY |
| ENT               | NIGHT      | 2026-03-02 |                  1 | BILLING_OFFICER     |
| ENT               | NIGHT      | 2026-03-02 |                  1 | HR_ASSISTANT        |
| Gastroenterology  | AFTERNOON  | 2026-03-02 |                  3 | GASTROENTEROLOGY    |
| Gastroenterology  | AFTERNOON  | 2026-03-02 |                  1 | ASSISTANT_NURSE     |
| Gastroenterology  | AFTERNOON  | 2026-03-02 |                  5 | NURSE               |
| Gastroenterology  | AFTERNOON  | 2026-03-02 |                  1 | BILLING_OFFICER     |
| Gastroenterology  | AFTERNOON  | 2026-03-02 |                  1 | HR_ASSISTANT        |
| Gastroenterology  | MORNING    | 2026-03-02 |                  1 | HR_ASSISTANT        |
| Gastroenterology  | MORNING    | 2026-03-02 |                  1 | ACCOUNTANT          |
| Gastroenterology  | MORNING    | 2026-03-02 |                  3 | GASTROENTEROLOGY    |
| Gastroenterology  | MORNING    | 2026-03-02 |                  6 | NURSE               |
| Gastroenterology  | NIGHT      | 2026-03-02 |                  1 | ASSISTANT_NURSE     |
| Gastroenterology  | NIGHT      | 2026-03-02 |                  5 | NURSE               |
| Gastroenterology  | NIGHT      | 2026-03-02 |                  1 | REGISTRAR           |
| Gastroenterology  | NIGHT      | 2026-03-02 |                  1 | BILLING_OFFICER     |
| Gastroenterology  | NIGHT      | 2026-03-02 |                  3 | GASTROENTEROLOGY    |
| ICU               | AFTERNOON  | 2026-03-02 |                  3 | INTENSIVE_CARE      |
| ICU               | AFTERNOON  | 2026-03-02 |                  6 | NURSE               |
| ICU               | AFTERNOON  | 2026-03-02 |                  1 | SECRETARY           |
| ICU               | AFTERNOON  | 2026-03-02 |                  1 | HR_ASSISTANT        |
