+------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------+------+------------+
| icd10_code | icd10_description                                                                                                                                                                   | yr1  | yr2  | admissions |
+------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------+------+------------+
| I50.1      | Ανεπάρκεια της αριστερής κοιλίας                                                                                                                                                    | 2024 | 2023 |          9 |
| I25.8      | Άλλες μορφές χρόνιας ισχαιμικής καρδιοπάθειας                                                                                                                                       | 2024 | 2023 |          5 |
| I20.9      | Στηθάγχη, μη καθορισμένη                                                                                                                                                            | 2025 | 2024 |          6 |
| I21.0      | Οξύ διατοιχωματικό έμφραγμα του μυοκαρδίου του προσθίου τοιχώματος                                                                                                                  | 2026 | 2025 |          6 |
| I25.2      | Παλαιό έμφραγμα του μυοκαρδίου                                                                                                                                                      | 2026 | 2025 |          6 |
| T81.2      | Τυχαία παρακέντηση και διάσχιση κατά τη διάρκεια ιατρικής επέμβασης, που δεν ταξινομούνται αλλού                                                                                    | 2024 | 2023 |          6 |
| S72.8      | Κατάγματα άλλων τμημάτων του μηριαίου οστού                                                                                                                                         | 2025 | 2024 |         13 |
| T81.8      | Άλλες επιπλοκές επεμβάσεων, που δεν ταξινομούνται αλλού                                                                                                                             | 2025 | 2024 |          8 |
| T81.4      | Μόλυνση μετά από ιατρική επέμβαση, που δεν ταξινομείται αλλού                                                                                                                       | 2025 | 2024 |         10 |
| R57.8      | Άλλη καταπληξία [shock]                                                                                                                                                             | 2024 | 2023 |          9 |
| R57.9      | Καταπληξία [shock], μη καθορισμένη                                                                                                                                                  | 2024 | 2023 |          8 |
| A41.3      | Σηψαιμία από Haemophilus influenzae                                                                                                                                                 | 2025 | 2024 |          6 |
| A41.2      | Σηψαιμία από μη καθορισμένο σταφυλόκοκκο                                                                                                                                            | 2025 | 2024 |          5 |
| G93.3      | Μεταϊογενές σύνδρομο κόπωσης                                                                                                                                                        | 2025 | 2024 |          5 |
| G93.4      | Εγκεφαλοπάθεια, μη καθορισμένη                                                                                                                                                      | 2025 | 2024 |          5 |
| R57.1      | Υποογκαιμική καταπληξία [shock]                                                                                                                                                     | 2026 | 2025 |          8 |
| S09.2      | Τραυματική ρήξη της τυμπανικής μεμβράνης                                                                                                                                            | 2024 | 2023 |          6 |
| R07.4      | Θωρακικός πόνος, μη καθορισμένος                                                                                                                                                    | 2025 | 2024 |          8 |
| T14.9      | Τραυματισμός, μη καθορισμένος                                                                                                                                                       | 2025 | 2024 |          7 |
