+-----------------+----------------------+------------------------+----------------------+---------------------------------+
| emergency_level | average_waiting_time | department_name        | cases_per_department | department_distribution_percent |
+-----------------+----------------------+------------------------+----------------------+---------------------------------+
|               1 |                 4.58 | Ophthalmology          |                   81 |                            7.83 |
|               1 |                 4.58 | Nephrology             |                   80 |                            7.74 |
|               1 |                 4.58 | ENT                    |                   77 |                            7.45 |
|               1 |                 4.58 | No referred department |                   76 |                            7.35 |
|               1 |                 4.58 | Pulmonology            |                   75 |                            7.25 |
|               1 |                 4.58 | Oncology               |                   71 |                            6.87 |
|               1 |                 4.58 | Neurology              |                   70 |                            6.77 |
|               1 |                 4.58 | Gastroenterology       |                   68 |                            6.58 |
|               1 |                 4.58 | Surgery                |                   67 |                            6.48 |
|               1 |                 4.58 | Internal Medicine      |                   67 |                            6.48 |
|               1 |                 4.58 | Psychiatry             |                   67 |                            6.48 |
|               1 |                 4.58 | Orthopedics            |                   66 |                            6.38 |
|               1 |                 4.58 | Cardiology             |                   61 |                            5.90 |
|               1 |                 4.58 | Pediatrics             |                   56 |                            5.42 |
|               1 |                 4.58 | ICU                    |                   52 |                            5.03 |
|               2 |                12.34 | No referred department |                  667 |                           25.92 |
|               2 |                12.34 | Nephrology             |                  153 |                            5.95 |
|               2 |                12.34 | Psychiatry             |                  148 |                            5.75 |
|               2 |                12.34 | Gastroenterology       |                  145 |                            5.64 |
|               2 |                12.34 | Orthopedics            |                  144 |                            5.60 |
|               2 |                12.34 | ICU                    |                  143 |                            5.56 |
|               2 |                12.34 | Oncology               |                  143 |                            5.56 |
|               2 |                12.34 | Surgery                |                  134 |                            5.21 |
|               2 |                12.34 | Pulmonology            |                  133 |                            5.17 |
|               2 |                12.34 | Cardiology             |                  133 |                            5.17 |
|               2 |                12.34 | ENT                    |                  133 |                            5.17 |
|               2 |                12.34 | Ophthalmology          |                  130 |                            5.05 |
|               2 |                12.34 | Internal Medicine      |                  129 |                            5.01 |
|               2 |                12.34 | Pediatrics             |                  122 |                            4.74 |
|               2 |                12.34 | Neurology              |                  116 |                            4.51 |
|               3 |                35.15 | No referred department |                 2607 |                           51.39 |
|               3 |                35.15 | ICU                    |                  197 |                            3.88 |
|               3 |                35.15 | Surgery                |                  191 |                            3.77 |
|               3 |                35.15 | Psychiatry             |                  190 |                            3.75 |
|               3 |                35.15 | ENT                    |                  181 |                            3.57 |
|               3 |                35.15 | Nephrology             |                  181 |                            3.57 |
|               3 |                35.15 | Pulmonology            |                  180 |                            3.55 |
|               3 |                35.15 | Orthopedics            |                  175 |                            3.45 |
|               3 |                35.15 | Pediatrics             |                  173 |                            3.41 |
|               3 |                35.15 | Neurology              |                  173 |                            3.41 |
|               3 |                35.15 | Gastroenterology       |                  171 |                            3.37 |
|               3 |                35.15 | Internal Medicine      |                  170 |                            3.35 |
|               3 |                35.15 | Oncology               |                  169 |                            3.33 |
|               3 |                35.15 | Cardiology             |                  162 |                            3.19 |
|               3 |                35.15 | Ophthalmology          |                  153 |                            3.02 |
|               4 |                69.97 | No referred department |                 4424 |                           77.94 |
|               4 |                69.97 | Orthopedics            |                  103 |                            1.81 |
|               4 |                69.97 | Neurology              |                   99 |                            1.74 |
|               4 |                69.97 | Oncology               |                   96 |                            1.69 |
|               4 |                69.97 | Surgery                |                   92 |                            1.62 |
|               4 |                69.97 | Pulmonology            |                   92 |                            1.62 |
|               4 |                69.97 | Cardiology             |                   91 |                            1.60 |
|               4 |                69.97 | Gastroenterology       |                   91 |                            1.60 |
|               4 |                69.97 | Pediatrics             |                   90 |                            1.59 |
|               4 |                69.97 | Ophthalmology          |                   88 |                            1.55 |
|               4 |                69.97 | ENT                    |                   85 |                            1.50 |
|               4 |                69.97 | Psychiatry             |                   85 |                            1.50 |
|               4 |                69.97 | Nephrology             |                   84 |                            1.48 |
|               4 |                69.97 | Internal Medicine      |                   80 |                            1.41 |
|               4 |                69.97 | ICU                    |                   76 |                            1.34 |
|               5 |               105.93 | No referred department |                 3330 |                           91.38 |
|               5 |               105.93 | Gastroenterology       |                   29 |                            0.80 |
|               5 |               105.93 | Psychiatry             |                   29 |                            0.80 |
|               5 |               105.93 | Internal Medicine      |                   28 |                            0.77 |
|               5 |               105.93 | Surgery                |                   27 |                            0.74 |
|               5 |               105.93 | Neurology              |                   25 |                            0.69 |
|               5 |               105.93 | Cardiology             |                   25 |                            0.69 |
|               5 |               105.93 | ICU                    |                   25 |                            0.69 |
|               5 |               105.93 | Orthopedics            |                   24 |                            0.66 |
|               5 |               105.93 | ENT                    |                   19 |                            0.52 |
|               5 |               105.93 | Oncology               |                   18 |                            0.49 |
|               5 |               105.93 | Ophthalmology          |                   18 |                            0.49 |
|               5 |               105.93 | Pediatrics             |                   18 |                            0.49 |
|               5 |               105.93 | Pulmonology            |                   15 |                            0.41 |
|               5 |               105.93 | Nephrology             |                   14 |                            0.38 |
+-----------------+----------------------+------------------------+----------------------+---------------------------------+
